,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
0,HD 143761 b,332.21208264960984,0.037,0.2196,1.362,5627.0,1.6434250464856919,1.1665036277206564,0.3466092668656819,1.1869485763574334,2.177483465362173,False
1,HD 143761 c,25.114597635712133,0.05,0.4123,1.362,5627.0,1.6434250464856919,1.1665036277206564,0.3466092668656819,1.1869485763574334,2.177483465362173,False
2,KOI-1843.03,0.44506881886072136,,0.0048,0.45,3584.0,0.029524670346488036,0.870458122686051,0.24957515346916925,0.1841698725251055,0.3439472609072497,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,Kepler-9 b,79.47657479655739,0.0626,0.143,1.02,5777.0,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,False
6,Kepler-9 c,54.04407086165903,0.0684,0.229,1.02,5777.0,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,False
7,Kepler-9 d,6.99393858209705,,0.0271,1.02,5777.0,1.0239950079733204,1.187570253856577,0.35581488536830086,0.9285798691233806,1.696433591285405,
8,GJ 160.2 b,10.204792203877968,0.06,0.053,,4347.0,,1.0336286829409418,0.278116112662661,,,
9,,,,,,,,,,,,
10,WASP-124 b,190.74377951173773,,0.0449,,6050.0,,1.2277590299355599,0.372719575182425,,,
11,HD 240210 b,1656.2918187602559,0.15,1.33,,4297.0,,1.03033838160172,0.275952329310398,,,
12,OGLE-05-390L b,5.404407086165903,,2.1,,3840.0,,1.0060404713753597,0.25812620696679994,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,WASP-82 b,394.20381099092464,,0.0447,2.18,6490.0,7.450403606226807,1.29481267098996,0.39938379230042503,2.3987579644572588,4.319114146723112,
16,Gliese 1214 b,6.199172834131476,0.0,0.01488,0.2213,3250.0,0.004828189391929764,0.9853292518779598,0.23969010319442494,0.07000055135615171,0.14192767799758602,False
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,HD 4203 b,578.5894645189378,0.52,1.1735,1.33,5702.0,1.6523428274191407,1.1769303620283194,0.3511984476134023,1.1848808934414419,2.169071090136088,False
20,HD 4203 c,689.856669234118,0.24,6.95,1.33,5702.0,1.6523428274191407,1.1769303620283194,0.3511984476134023,1.1848808934414419,2.169071090136088,False
21,HD 179079 b,25.432503934898364,0.115,0.11,1.48,5724.0,2.0778297344970924,1.1800301858480784,0.3525501210652364,1.326961797574552,2.4276973506280353,False
22,,,,,,,,,,,,
23,HD 187123 b,161.30565620709285,0.0093,0.04213,1.143,5815.0,1.3200165089473466,1.1930360475584476,0.35816179209915155,1.0518720089039693,1.9197737726763486,False
24,HD 187123 c,577.9536519205653,0.28,4.417,1.143,5815.0,1.3200165089473466,1.1930360475584476,0.35816179209915155,1.0518720089039693,1.9197737726763486,False
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,Kepler-131 b,16.130565620709287,,,1.03,5685.0,0.9792291906883572,1.1745475872421476,0.35015557092652655,0.9130758727859775,1.6722902414611034,
31,Kepler-131 c,8.250304276481028,,,1.03,5685.0,0.9792291906883572,1.1745475872421476,0.35015557092652655,0.9130758727859775,1.6722902414611034,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,CoRoT-24 c,27.9757543283882,0.0,0.098,0.86,4950.0,0.3923789710370595,1.0846333588163601,0.307514446886425,0.6014664167970535,1.1295880783914505,False
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,HD 164595 b,16.213221258497708,0.088,0.23,,5790.0,,1.18943469858116,0.356617266596425,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,WASP-108 b,283.57241887411675,,0.0397,1.215,6000.0,1.6906183680884974,1.22025788420096,0.36962302491879995,1.1770556068138103,2.1386675657540817,
52,K2-34 b,565.8732125514886,0.0,0.04419,1.526,6132.0,2.9094150276602915,1.2401583751738818,0.377784271902638,1.5316666757790176,2.7751144720653875,False
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,38 Vir b,1433.7574093298952,0.03,1.82,1.45,6557.0,3.4343516778277365,1.3049506793255268,0.4032704257979826,1.6222782049294135,2.9182614322666875,True
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,Kepler-101 b,51.18291416898296,0.086,0.0474,1.56,5667.0,2.217941428129146,1.1720368444883056,0.3490529752477023,1.3756387608093865,2.5207476118919074,False
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,HIP 11952 b,931.4654566156527,0.27,0.81,1.6,6040.0,3.010757282743352,1.22625480537216,0.3721006291108,1.5669224813911218,2.844511347556839,False
69,HIP 11952 c,247.96691336525905,0.35,0.07,1.6,6040.0,3.010757282743352,1.22625480537216,0.3721006291108,1.5669224813911218,2.844511347556839,False
70,HD 122430 b,1179.4323699809115,0.68,1.02,22.9,4300.0,158.4283184839194,1.03053197331456,0.2760809474368,12.398971764131517,23.955111025570737,False
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,Gliese 86 b,1243.0136298181576,0.0416,0.113,0.855,5188.0,0.4679722758371402,1.110635225577947,0.32065779697819646,0.6491190287977395,1.208061823403716,False
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,HD 145377 b,1831.1402833126822,0.307,0.45,1.14,6046.0,1.5345120381302446,1.227157111994151,0.37247202274856067,1.1182401092366097,2.0297302356187137,False
85,,,,,,,,,,,,
86,HD 5608 b,445.06881886072136,0.19,1.9,5.5,4854.0,14.839268491296814,1.0750772261440875,0.30244190879765187,3.7152360769390196,7.0046309894451,False
87,HATS-28 b,213.63303305314628,0.101,0.04131,0.922,5498.0,0.6863866213158055,1.1491220269249196,0.33880100369094784,0.7728608890432453,1.4233511638885314,False
88,,,,,,,,,,,,
89,HD 68988 b,604.0219684538362,0.14,0.071,1.14,5767.0,1.2702743657178812,1.186140003220885,0.3551980639720832,1.0348580695905032,1.891095547261138,False
90,,,,,,,,,,,,
91,HD 183263 b,1155.5893975419444,0.3728,1.486,1.117,5936.0,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,True
92,HD 183263 c,2193.553464384984,0.051,5.69,1.117,5936.0,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,False
93,HD 154672 b,1595.8896219148721,0.61,0.6,1.27,5714.0,1.519345038034426,1.1786189317680578,0.35193544532179266,1.1353806791961345,2.077766315844003,False
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
